,Company,PriceRs.,Day HighRs.
0,"
Infosys
",1792.95,1844.00
1,"
Tata Teleservice(Mah
",102.14,111.40
2,"
TCS
",4302.40,4358.75
3,"
Mphasis
",2873.55,2915.00
4,"
MTNL
",69.32,70.48
5,"
Just Dial
",1252.45,1304.60
6,"
Indus Towers
",409.50,424.70
7,"
Wipro
",557.20,579.90
8,"
VST Industries
",4573.10,4849.75
9,"
AIA Engineering
",4272.70,4699.95
10,"
Elecon Engg.
",641.00,716.75
11,"
Britannia Inds
",5877.95,5978.00
12,"
Jubilant Pharmova
",749.55,800.00
13,"
Kalpataru Projects
",1336.30,1427.85
14,"
Godrej Consumer Prod
",1451.90,1476.95
